resource	day_id	hr_of_day	cap_factor	downward_lf_req	upward_lf_req
Tehachapi_Ex_Solar	3	15	0.467203477611129	0	0
Tehachapi_Ex_Solar	3	16	0.27801661658471	0	0
Tehachapi_Ex_Solar	3	17	0	0	0
Tehachapi_Ex_Solar	3	18	0	0	0
Tehachapi_Ex_Solar	3	19	0	0	0
Tehachapi_Ex_Solar	3	20	0	0	0
Tehachapi_Ex_Solar	3	21	0	0	0
Tehachapi_Ex_Solar	3	22	0	0	0
Tehachapi_Ex_Solar	3	23	0	0	0
Tehachapi_Ex_Solar	4	0	0	0	0
Tehachapi_Ex_Solar	4	1	0	0	0
Tehachapi_Ex_Solar	4	2	0	0	0
Tehachapi_Ex_Solar	4	3	0	0	0
Tehachapi_Ex_Solar	4	4	0	0	0
Tehachapi_Ex_Solar	4	5	0	0	0
Tehachapi_Ex_Solar	4	6	0	0	0
Tehachapi_Ex_Solar	4	7	0.291897897010255	0	0
Tehachapi_Ex_Solar	4	8	0.836419824750857	0	0
Tehachapi_Ex_Solar	4	9	0.892618031104393	0	0
Tehachapi_Ex_Solar	4	10	0.877575681809783	0	0
Tehachapi_Ex_Solar	4	11	0.837704239096729	0	0
Tehachapi_Ex_Solar	4	12	0.767370795434028	0	0
Tehachapi_Ex_Solar	4	13	0.761040615183457	0	0
Tehachapi_Ex_Solar	4	14	0.731350533363735	0	0
Tehachapi_Ex_Solar	4	15	0.69075160216268	0	0
Tehachapi_Ex_Solar	4	16	0.638746935979211	0	0
Tehachapi_Ex_Solar	4	17	0.129444966999239	0	0
Tehachapi_Ex_Solar	4	18	0	0	0
Tehachapi_Ex_Solar	4	19	0	0	0
Tehachapi_Ex_Solar	4	20	0	0	0
Tehachapi_Ex_Solar	4	21	0	0	0
Tehachapi_Ex_Solar	4	22	0	0	0
Tehachapi_Ex_Solar	4	23	0	0	0
Tehachapi_Ex_Solar	5	0	0	0	0
Tehachapi_Ex_Solar	5	1	0	0	0
Tehachapi_Ex_Solar	5	2	0	0	0
Tehachapi_Ex_Solar	5	3	0	0	0
Tehachapi_Ex_Solar	5	4	0	0	0
Tehachapi_Ex_Solar	5	5	0	0	0
Tehachapi_Ex_Solar	5	6	0	0	0
Tehachapi_Ex_Solar	5	7	0.457857672913217	0	0
Tehachapi_Ex_Solar	5	8	0.604375043493077	0	0
Tehachapi_Ex_Solar	5	9	0.71044029527191	0	0
Tehachapi_Ex_Solar	5	10	0.422059580892469	0	0
Tehachapi_Ex_Solar	5	11	0.546125243605811	0	0
Tehachapi_Ex_Solar	5	12	0.524225725617429	0	0
Tehachapi_Ex_Solar	5	13	0.336299102755872	0	0
Tehachapi_Ex_Solar	5	14	0.434585599449321	0	0
Tehachapi_Ex_Solar	5	15	0.354512879433738	0	0
Tehachapi_Ex_Solar	5	16	6.05884308407457E-02	0	0
Tehachapi_Ex_Solar	5	17	0.123269925993634	0	0
Tehachapi_Ex_Solar	5	18	0	0	0
Tehachapi_Ex_Solar	5	19	0	0	0
Tehachapi_Ex_Solar	5	20	0	0	0
Tehachapi_Ex_Solar	5	21	0	0	0
Tehachapi_Ex_Solar	5	22	0	0	0
